cluster,devicename,consumerno,2026-09-01,RECIEVED,EXPECTED,PERCENTAGE,INSTALLATION_DATE
cluster_1,ISKUS1597299,26324050904,1,1,1,100.0,2026-06-20 00:00:00
cluster_1,ISKUS1597319,26304002602,1,1,1,100.0,2026-07-15 00:00:00
cluster_1,ISKUS1597411,26336050785,1,1,1,100.0,2026-05-21 00:00:00
cluster_1,ISKUS1597435,26328002670,1,1,1,100.0,2026-04-16 00:00:00
cluster_1,ISKUS1597444,26313008723,1,1,1,100.0,2026-05-08 00:00:00
cluster_1,ISKUS1597448,26329000743,1,1,1,100.0,2026-05-08 00:00:00
cluster_1,ISKUS1597449,26329007187,1,1,1,100.0,2026-05-08 00:00:00
cluster_1,ISKUS1597453,26344000554,0,0,1,0.0,2026-06-20 00:00:00
cluster_1,ISKUS1597457,26319051787,1,1,1,100.0,2026-04-18 00:00:00
cluster_1,ISKUS1597460,26326057043,1,1,1,100.0,2026-05-21 00:00:00
cluster_1,ISKUS1597542,26907105772,1,1,1,100.0,2026-05-02 00:00:00
cluster_1,ISKUS1597581,26905222593,1,1,1,100.0,2026-07-18 00:00:00
cluster_1,ISKUS1597604,26913014902,1,1,1,100.0,2026-05-01 00:00:00
cluster_1,ISKUS1597609,26910027205,1,1,1,100.0,2026-05-03 00:00:00
cluster_1,ISKUS1597611,26905007838,1,1,1,100.0,2026-05-04 00:00:00
cluster_1,ISKUS1597612,26905122530,1,1,1,100.0,2026-05-02 00:00:00
cluster_1,ISKUS1597613,26919116855,1,1,1,100.0,2026-05-02 00:00:00
cluster_1,ISKUS1597614,26919018284,1,1,1,100.0,2026-05-03 00:00:00
cluster_1,ISKUS1597615,26919113880,1,1,1,100.0,2026-05-02 00:00:00
cluster_1,ISKUS1597616,26905111341,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1597617,26905037214,1,1,1,100.0,2026-05-06 00:00:00
cluster_1,ISKUS1597619,26905111260,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1597620,26910103793,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1597621,26910132939,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1597622,26919011778,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1597623,26905159069,1,1,1,100.0,2026-05-08 00:00:00
cluster_1,ISKUS1597625,26905141593,1,1,1,100.0,2026-05-07 00:00:00
cluster_1,ISKUS1597626,26913000782,1,1,1,100.0,2026-05-08 00:00:00
cluster_1,ISKUS1597627,26905111279,1,1,1,100.0,2026-06-13 00:00:00
cluster_1,ISKUS1597628,26905025275,1,1,1,100.0,2026-05-13 00:00:00
cluster_1,ISKUS1597629,26905111767,1,1,1,100.0,2026-05-09 00:00:00
cluster_1,ISKUS1597630,26905111880,1,1,1,100.0,2026-05-09 00:00:00
cluster_1,ISKUS1597631,26905111783,1,1,1,100.0,2026-05-13 00:00:00
cluster_1,ISKUS1597634,26919000474,1,1,1,100.0,2026-05-15 00:00:00
cluster_1,ISKUS1597635,26924106137,1,1,1,100.0,2026-05-18 00:00:00
cluster_1,ISKUS1597636,26923105420,1,1,1,100.0,2026-05-14 00:00:00
cluster_1,ISKUS1597637,26910110722,1,1,1,100.0,2026-05-14 00:00:00
cluster_1,ISKUS1597638,26905111333,1,1,1,100.0,2026-05-14 00:00:00
cluster_1,ISKUS1597639,26905053953,1,1,1,100.0,2026-05-23 00:00:00
cluster_1,ISKUS1597640,26910124790,1,1,1,100.0,2026-05-21 00:00:00
cluster_1,ISKUS1597641,26910127927,1,1,1,100.0,2026-05-24 00:00:00
cluster_1,ISKUS1597642,26905111937,1,1,1,100.0,2026-05-23 00:00:00
cluster_1,ISKUS1597643,26905051535,1,1,1,100.0,2026-05-23 00:00:00
cluster_1,ISKUS1597644,26905172804,1,1,1,100.0,2026-05-24 00:00:00
cluster_1,ISKUS1597645,26910108299,1,1,1,100.0,2026-05-26 00:00:00
cluster_1,ISKUS1597646,26910110757,1,1,1,100.0,2026-05-26 00:00:00
cluster_1,ISKUS1597647,26910101057,1,1,1,100.0,2026-05-24 00:00:00
cluster_1,ISKUS1597648,26905145548,1,1,1,100.0,2026-06-04 00:00:00
cluster_1,ISKUS1597649,26919018845,1,1,1,100.0,2026-05-29 00:00:00
cluster_1,ISKUS1597650,26905033472,1,1,1,100.0,2026-06-05 00:00:00
cluster_1,ISKUS1597671,26910138996,1,1,1,100.0,2026-04-18 00:00:00
cluster_1,ISKUS1597672,26910139003,1,1,1,100.0,2026-04-18 00:00:00
cluster_1,ISKUS1597673,26910139011,1,1,1,100.0,2026-04-18 00:00:00
cluster_1,ISKUS1597674,26910139020,1,1,1,100.0,2026-04-18 00:00:00
cluster_1,ISKUS1597675,26910139038,1,1,1,100.0,2026-04-18 00:00:00
cluster_1,ISKUS1597677,26910139054,1,1,1,100.0,2026-04-18 00:00:00
cluster_1,ISKUS1597680,26910139089,1,1,1,100.0,2026-04-18 00:00:00
cluster_1,ISKUS1597685,26905223980,1,1,1,100.0,2026-05-24 00:00:00
cluster_1,ISKUS1597686,26905223875,1,1,1,100.0,2026-05-09 00:00:00
cluster_1,ISKUS1597688,26919118696,1,1,1,100.0,2026-05-07 00:00:00
cluster_1,ISKUS1597700,26907105780,1,1,1,100.0,2026-05-02 00:00:00
cluster_1,ISKUS1597707,26905222550,1,1,1,100.0,2026-05-03 00:00:00
cluster_1,ISKUS1597709,26905223883,1,1,1,100.0,2026-05-11 00:00:00
cluster_1,ISKUS1597716,26914103941,1,1,1,100.0,2026-05-03 00:00:00
cluster_1,ISKUS1597719,26905223867,1,1,1,100.0,2026-05-10 00:00:00
cluster_1,ISKUS1597720,26905222461,1,1,1,100.0,2026-05-01 00:00:00
cluster_1,ISKUS1597725,26914104107,1,1,1,100.0,2026-05-22 00:00:00
cluster_1,ISKUS1597729,26905223999,1,1,1,100.0,2026-05-19 00:00:00
cluster_1,ISKUS1597732,26914104050,1,1,1,100.0,2026-05-04 00:00:00
cluster_1,ISKUS1597734,26924107443,1,1,1,100.0,2026-04-28 00:00:00
cluster_1,ISKUS1597738,26905200298,1,1,1,100.0,2026-06-21 00:00:00
cluster_1,ISKUS1597739,26914103968,1,1,1,100.0,2026-05-08 00:00:00
cluster_1,ISKUS1597745,26905125911,1,1,1,100.0,2026-05-20 00:00:00
cluster_1,ISKUS1597748,26919118700,1,1,1,100.0,2026-05-03 00:00:00
cluster_1,ISKUS1597749,26914104042,1,1,1,100.0,2026-08-24 00:00:00
cluster_1,ISKUS1597750,26914104069,1,1,1,100.0,2026-05-08 00:00:00
cluster_1,ISKUS1597752,26704002944,1,1,1,100.0,2026-04-25 00:00:00
cluster_1,ISKUS1597755,26701017118,1,1,1,100.0,2026-05-01 00:00:00
cluster_1,ISKUS1597756,26719107186,1,1,1,100.0,2026-05-02 00:00:00
cluster_1,ISKUS1597757,26701105661,1,1,1,100.0,2026-05-01 00:00:00
cluster_1,ISKUS1597758,26702004745,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1597759,26702002556,1,1,1,100.0,2026-05-06 00:00:00
cluster_1,ISKUS1597760,26701002129,1,1,1,100.0,2026-05-06 00:00:00
cluster_1,ISKUS1597768,26711103700,0,0,1,0.0,2026-05-02 00:00:00
cluster_1,ISKUS1597769,26711103718,0,0,1,0.0,2026-05-02 00:00:00
cluster_1,ISKUS1597775,26701110959,1,1,1,100.0,2026-06-16 00:00:00
cluster_1,ISKUS1597777,26701110940,1,1,1,100.0,2026-06-16 00:00:00
cluster_1,ISKUS1597778,26702106254,1,1,1,100.0,2026-05-26 00:00:00
cluster_1,ISKUS1597782,26719108603,1,1,1,100.0,2026-05-13 00:00:00
cluster_1,ISKUS1597783,26719108611,1,1,1,100.0,2026-05-13 00:00:00
cluster_1,ISKUS1597784,26719108620,1,1,1,100.0,2026-05-09 00:00:00
